model,model_label,i,j,pair_mode,embedding_distance,usr_conformational_distance
confseq,ConfSeq,1477,250,common_random,1.29715895652771,18.783061041273065
confseq,ConfSeq,1718,1348,common_random,0.2425533235073089,1.8290707187601012
confseq,ConfSeq,1546,1381,common_random,0.409260481595993,1.4633487279721058
confseq,ConfSeq,890,27,common_random,1.4275949001312256,15.451989388755278
confseq,ConfSeq,1604,1479,common_random,0.77984619140625,4.80035768158822
confseq,ConfSeq,316,290,common_random,0.693740725517273,2.125459636928161
confseq,ConfSeq,1310,666,common_random,1.0053908824920654,6.865389545651963
confseq,ConfSeq,1448,1819,common_random,0.7796725630760193,3.4970959039629794
confseq,ConfSeq,1179,598,common_random,1.3330382108688354,16.12844461102779
confseq,ConfSeq,472,1714,common_random,1.0599204301834106,2.758776367212864
confseq,ConfSeq,264,1448,common_random,1.0590518712997437,14.709999660913471
confseq,ConfSeq,666,391,common_random,0.50022953748703,4.012669107167072
confseq,ConfSeq,303,483,common_random,0.460918128490448,5.952817842623443
confseq,ConfSeq,1184,1297,common_random,0.4513812065124511,1.2457814201759725
confseq,ConfSeq,1718,1403,common_random,0.4797245562076568,2.038931407619758
confseq,ConfSeq,1731,137,common_random,1.07056987285614,27.569158064221444
confseq,ConfSeq,1848,1752,common_random,0.7918280363082886,1.6313943981407404
confseq,ConfSeq,491,1695,common_random,1.151604413986206,17.723670332123078
confseq,ConfSeq,171,119,common_random,1.1395788192749023,13.257302452630524
confseq,ConfSeq,465,1131,common_random,0.9862225651741028,9.35984561557314
confseq,ConfSeq,11,1731,common_random,1.1544989347457886,20.50547464781678
confseq,ConfSeq,1482,1616,common_random,0.6838443279266357,3.5016759531651576
confseq,ConfSeq,776,1404,common_random,1.0331822633743286,9.575387692560616
confseq,ConfSeq,1325,46,common_random,0.9966882467269896,18.73606331443188
confseq,ConfSeq,539,51,common_random,0.54160475730896,1.1980746276243084
confseq,ConfSeq,1810,443,common_random,1.4637458324432373,22.170514063396524
confseq,ConfSeq,1987,1140,common_random,0.9773072600364684,18.287215970144896
confseq,ConfSeq,967,682,common_random,1.3962379693984983,22.164767110199936
confseq,ConfSeq,1669,1641,common_random,0.4584501683712005,2.38749780336292
confseq,ConfSeq,1803,1063,common_random,0.5196726322174072,1.5740800887490207
confseq,ConfSeq,328,1055,common_random,1.0019527673721311,13.320857163282328
confseq,ConfSeq,1447,1040,common_random,0.6775757074356079,2.5626690280551965
confseq,ConfSeq,736,1327,common_random,1.1165353059768677,30.442874351614744
confseq,ConfSeq,180,1131,common_random,0.899765133857727,11.888467850035026
confseq,ConfSeq,1986,1945,common_random,0.5488806962966919,6.547075036639117
confseq,ConfSeq,1719,1591,common_random,0.6194887757301331,1.641218225934506
confseq,ConfSeq,649,156,common_random,0.3061966300010681,9.34514452911458
confseq,ConfSeq,630,706,common_random,0.4464888572692871,2.5891947455082245
confseq,ConfSeq,866,1938,common_random,0.916205644607544,9.119568249374488
confseq,ConfSeq,171,665,common_random,0.7718814015388489,8.90120823999752
confseq,ConfSeq,1671,229,common_random,0.778331995010376,9.509212243353518
confseq,ConfSeq,1740,1739,common_random,0.3470338881015777,1.3029357524302456
confseq,ConfSeq,1305,1654,common_random,0.4064013957977295,2.0672584354069694
confseq,ConfSeq,1681,1557,common_random,0.9108758568763732,11.74745416833352
confseq,ConfSeq,692,1856,common_random,0.649887204170227,15.268667767830284
confseq,ConfSeq,96,1167,common_random,1.1528010368347168,9.814358092707543
confseq,ConfSeq,1184,399,common_random,1.1207152605056765,26.308110410075397
confseq,ConfSeq,1042,452,common_random,1.0220330953598022,36.05548889712871
confseq,ConfSeq,1056,536,common_random,1.2009714841842651,24.55745790390377
confseq,ConfSeq,1786,1828,common_random,0.4889645576477051,1.5944529785568975
confseq,ConfSeq,1048,1231,common_random,0.9903445243835448,3.6336521138762814
confseq,ConfSeq,574,946,common_random,1.1391433477401731,6.7997684970261405
confseq,ConfSeq,166,966,common_random,1.6276050806045532,31.76644261370308
